location.name,date,event.count,treatment.name,duplicate,sample.id,analyte,result,units,non.detect,method,cas.number,mdl,rl,lab.id.x,dilution,result.reported.to,report.basis,percent.moisture,percent.solid,method.name,event.type,lab.id.y,matrix,collected,received,hold,flag
Kerbel,7/26/2022,Irr 4 rep 1,MT1,False,MT1-FF-04-GB,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,ST1,False,ST1-04-LC,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,ST1,True,ST1-04-LC-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/26/2022,Irr 4 rep 1,ST1,False,ST1-FF-04-GB,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,CT2,False,CT2-FF-04-GB,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,,False,KB-04-IN2,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,,True,KB-04-IN2-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,MT2,False,MT2-04-LC,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,MT2,True,MT2-04-LC-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,MT2,False,MT2-FF-04-GB,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
