Location,Date,Irr/Storm,Station,Dup,event,ID,op,no2,no3,tkn,tp,selenium (mg/L),TSS,E COLI,fecal,tss,Flow,OP,NO3,NH4,TKN,TP,E COLI.1,fecal.1,notes
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GB,NA,NA,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GB,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GB,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GB,NA,NA,NA,NA,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GBH,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GBH,NA,NA,8.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GBH,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GBH,0.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GBH,NA,NA,NA,NA,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT1-01-GBH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-LC,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-LC,NA,NA,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-LC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-LC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-LC,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GB,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GB,NA,NA,8.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GB,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GB,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GB,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GBH,NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GBH,NA,NA,8.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GBH,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GBH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GBH,NA,NA,NA,NA,0.965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-CT2-01-GBH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-LC,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-LC,NA,NA,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-LC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-LC,0.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-LC,NA,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GB,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GB,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GB,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GB,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GB,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH,NA,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH,NA,NA,8.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH,NA,NA,NA,NA,0.314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-LC,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-LC,NA,NA,8.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-LC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-LC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-LC,NA,NA,NA,NA,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GB,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GB,NA,NA,9.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GB,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GB,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GB,NA,NA,NA,NA,0.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GBH,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GBH,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GBH,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GBH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GBH,NA,NA,NA,NA,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT2-01-GBH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-LC,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-LC,NA,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-LC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-LC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-LC,NA,NA,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-ISC,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-ISC,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-ISC,NA,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-ISC,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-ISC,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-ISC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GB,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GB,NA,NA,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GB,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GB,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GB,NA,NA,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GBH,NA,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GBH,NA,NA,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GBH,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GBH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GBH,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST1-01-GBH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-LC,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-LC,NA,NA,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-LC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-LC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-LC,NA,NA,NA,NA,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-LC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-ISC,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-ISC,NA,NA,8.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-ISC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-ISC,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-ISC,NA,NA,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-ISC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GB,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GB,NA,NA,8.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GB,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GB,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GB,NA,NA,NA,NA,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GBH,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GBH,NA,NA,8.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GBH,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GBH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GBH,NA,NA,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-ST2-01-GBH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GB,NA,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GB,NA,NA,8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GB,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GB,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GB,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GBH,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GBH,NA,NA,8.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GBH,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GBH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GBH,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-INF-01-GBH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH-D,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH-D,NA,NA,8.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH-D,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH-D,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH-D,NA,NA,NA,NA,0.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,K-MT1-01-GBH-D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,"K-MT1-01-GBH-2,3,5-D",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,"K-MT1-01-GBH-2,3,5-D",NA,NA,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,"K-MT1-01-GBH-2,3,5-D",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,"K-MT1-01-GBH-2,3,5-D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Irrigation 1,NA,NA,NA,"K-MT1-01-GBH-2,3,5-D",NA,NA,NA,NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
